Nphotons,Cm,Ch,Bm,Bh,T,sR,sG,sB,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000

15000,0.2,0.1,0.5,0.75,74.882,50.487,37.97,0.15,0.0260288,0.0266321,0.0272272,0.0289579,0.0297519,0.0303968,0.0304673,0.0307286,0.0321138,0.0332283,0.033964,0.0357743,0.0376028,0.0378545,0.0400637,0.0446334,0.0470984,0.0508012,0.0540429,0.0568909,0.0596772,0.0635321,0.0654855,0.0653032,0.0669567,0.0670474,0.0680247,0.067993,0.0685526,0.0689358,0.0687199,0.0702058,0.0701691,0.0708222,0.0711093,0.0727742,0.0765356,0.0781067,0.0803535,0.0817256,0.0862537,0.0871871,0.089798,0.101947,0.117551,0.134083,0.15266,0.172422,0.188519,0.202321,0.210453,0.22431,0.232538,0.242723,0.251932,0.26279,0.269973,0.276646,0.288839,0.296326,0.305885
15000,0.2,0.1,0.5,0.75,74.882,50.487,37.97,0.15,0.0260288,0.0266321,0.0272272,0.0289579,0.0297519,0.0303968,0.0304673,0.0307286,0.0321138,0.0332283,0.033964,0.0357743,0.0376028,0.0378545,0.0400637,0.0446334,0.0470984,0.0508012,0.0540429,0.0568909,0.0596772,0.0635321,0.0654855,0.0653032,0.0669567,0.0670474,0.0680247,0.067993,0.0685526,0.0689358,0.0687199,0.0702058,0.0701691,0.0708222,0.0711093,0.0727742,0.0765356,0.0781067,0.0803535,0.0817256,0.0862537,0.0871871,0.089798,0.101947,0.117551,0.134083,0.15266,0.172422,0.188519,0.202321,0.210453,0.22431,0.232538,0.242723,0.251932,0.26279,0.269973,0.280242,0.288839,0.296326,0.305885
17500,0.2,0.1,0.5,0.75,74.655,50.526,38.052,0.15,0.0260845,0.0267851,0.0274528,0.028948,0.029765,0.030182,0.0307908,0.0307817,0.0323243,0.0334215,0.0341864,0.0363428,0.0379951,0.0381067,0.0394105,0.044483,0.0471018,0.0507275,0.0537262,0.057684,0.059261,0.0629239,0.0644877,0.0650254,0.0667835,0.0671398,0.0685093,0.068185,0.0688566,0.0689455,0.0687549,0.0694048,0.0703521,0.0702409,0.0705719,0.0727948,0.0767022,0.0776253,0.0800899,0.0818998,0.0854878,0.0871617,0.0902481,0.101877,0.117088,0.133312,0.152689,0.171765,0.187814,0.202278,0.210875,0.225378,0.233668,0.242592,0.252921,0.261242,0.270428,0.28001,0.289389,0.295747,0.305992
20000,0.2,0.1,0.5,0.75,74.758,50.486,37.98,0.15,0.0259801,0.026646,0.0274915,0.0285037,0.0295216,0.0299517,0.0309578,0.0310572,0.0324544,0.033368,0.03425,0.0360303,0.0377157,0.037958,0.0393239,0.0445247,0.0471348,0.0506448,0.053994,0.0576804,0.0594602,0.0628845,0.0645907,0.0652805,0.0667532,0.0674281,0.0686488,0.0687932,0.0692747,0.0693122,0.0688804,0.0697485,0.0702393,0.0694513,0.0702872,0.0724363,0.0758863,0.077609,0.0797938,0.0816634,0.0849575,0.0879201,0.0908268,0.102045,0.11693,0.133891,0.152352,0.171447,0.187569,0.202305,0.211208,0.22399,0.23374,0.243594,0.25299,0.261499,0.27047,0.280105,0.289257,0.296014,0.30576
22500,0.2,0.1,0.5,0.75,74.6,50.497,37.799,0.15,0.0258092,0.0264648,0.0273247,0.028286,0.0291773,0.029828,0.0307171,0.0308815,0.0322738,0.0333774,0.0344771,0.0359053,0.0378056,0.0379738,0.0394145,0.0443728,0.0470456,0.0507745,0.0538803,0.0576453,0.0590254,0.062567,0.0642465,0.0650472,0.0668972,0.0673878,0.0684175,0.0686805,0.0694052,0.0695254,0.0689104,0.0699563,0.0707002,0.0698348,0.0703437,0.0728399,0.0754888,0.0777087,0.0796614,0.0818953,0.0842044,0.0874487,0.0914228,0.102655,0.116546,0.134227,0.152401,0.171296,0.188588,0.202336,0.214395,0.224511,0.234043,0.244075,0.253093,0.26133,0.269726,0.279583,0.288714,0.296762,0.306021
25000,0.2,0.1,0.5,0.75,74.506,50.551,37.78,0.15,0.0258569,0.026505,0.027246,0.0281327,0.0290236,0.0299298,0.0307272,0.0309665,0.0324278,0.0334115,0.0343015,0.035757,0.0375668,0.0380687,0.0398308,0.0447515,0.0471208,0.0508484,0.0536854,0.0574547,0.05867,0.0625892,0.0642223,0.0649456,0.0668198,0.0672148,0.0681774,0.0686677,0.0694567,0.0694724,0.0685957,0.0700963,0.0706887,0.0695116,0.07024,0.0729238,0.0757543,0.0776691,0.0795422,0.0814466,0.0836003,0.087252,0.0916729,0.10255,0.116603,0.134745,0.152832,0.171667,0.187759,0.20244,0.214656,0.224789,0.23509,0.24344,0.252889,0.260942,0.270084,0.279349,0.288833,0.297176,0.305889
27500,0.2,0.1,0.5,0.75,74.474,50.598,37.856,0.15,0.0259537,0.026633,0.027393,0.0281858,0.0290635,0.0300362,0.0307584,0.0310897,0.0326761,0.0332575,0.0343876,0.0360302,0.0377811,0.0381991,0.0396993,0.0446946,0.047406,0.0507616,0.0536331,0.0573852,0.0589348,0.0625192,0.0639868,0.0648764,0.067032,0.0672760662267,0.0663929,0.0677539,0.0673839,0.0689203,0.0691704,0.0688951,0.0694097,0.0702378,0.0708995,0.0735451,0.0737271,0.0765957,0.0772715,0.0806903,0.0846503,0.0858963,0.0903469,0.101103,0.114933,0.134149,0.151392,0.169084,0.18571,0.199527,0.21219,0.223213,0.233859,0.241907,0.251089,0.258301,0.267053,0.275414,0.284773,0.29378,0.305022
30000,0.2,0.1,0.5,0.75,73.579,50.509,37.632,0.15,0.0254475,0.0261772,0.0265307,0.0275661,0.028319,0.0297937,0.0308097,0.0314006,0.0322168,0.0334437,0.0349481,0.0362961,0.0370799,0.0378036,0.0405234,0.0440956,0.0479269,0.0502637,0.0519483,0.0557268,0.0586066,0.0613208,0.0622921,0.0640728,0.0657045,0.0663434,0.0665763,0.0674737,0.0675101,0.0692132,0.0694113,0.0690727,0.0693103,0.0704152,0.0710868,0.0737286,0.0739207,0.0768653,0.0781694,0.0810776,0.084496,0.0857532,0.0906903,0.101013,0.114934,0.13411,0.15175,0.168961,0.186264,0.199492,0.212053,0.22323,0.233463,0.241635,0.251436,0.25903,0.267745,0.274674,0.284314,0.293799,0.305324
7.20907e+06,0.2,0.1,0.5,0.75,74.296,50.711,38.015,0.15,0.0258404,0.0265868,0.0273799,0.0282148,0.0290948,0.0299742,0.0309099,0.0318937,0.0328455,0.0338948,0.0349819,0.0360244,0.0372383,0.0385496,0.0407692,0.0445477,0.0477942,0.0508084,0.0532899,0.0562199,0.0592054,0.0619068,0.064,0.0655699,0.0666681,0.0674522,0.0681185,0.0686661,0.0694153,0.0698242,0.0701508,0.0701037,0.0703826,0.0710936,0.0721787,0.0736557,0.0755425,0.0775826,0.0796109,0.0817029,0.0840132,0.0868815,0.0915018,0.10043,0.116844,0.135993,0.153338,0.171085,0.187481,0.201297,0.212727,0.223452,0.233658,0.242885,0.251653,0.260173,0.268488,0.276992,0.286126,0.296091,0.306495
